Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1980","1980","ha","70000","F","FAO estimate"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1981","1981","ha","89000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1982","1982","ha","90000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1983","1983","ha","91300","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1984","1984","ha","92100","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1985","1985","ha","94000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1986","1986","ha","94800","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1987","1987","ha","95300","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1988","1988","ha","103600","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1989","1989","ha","103900","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1990","1990","ha","107000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1991","1991","ha","111000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1992","1992","ha","117000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1993","1993","ha","117000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1994","1994","ha","125000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1995","1995","ha","128000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1996","1996","ha","132300","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1997","1997","ha","137100","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1998","1998","ha","137000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","1999","1999","ha","139012","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2000","2000","ha","138000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2001","2001","ha","137800","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2002","2002","ha","134141","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2003","2003","ha","131470","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2004","2004","ha","134500","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2005","2005","ha","141550","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2006","2006","ha","143000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2007","2007","ha","145087","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2008","2008","ha","144228","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2009","2009","ha","136200","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2010","2010","ha","142018","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2011","2011","ha","146325","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2012","2012","ha","151109","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2013","2013","ha","155545","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2014","2014","ha","159100","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2015","2015","ha","160018","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2016","2016","ha","165817","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2017","2017","ha","170864","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","221","Almonds, with shell","2018","2018","ha","186255","","Official data"
"QC","Crops","143","Morocco","5419","Yield","221","Almonds, with shell","1980","1980","hg/ha","4286","Fc","Calculated data"
"QC","Crops","143","Morocco","5419","Yield","221","Almonds, with shell","1981","1981","hg/ha","6685","Fc","Calculated data"
"QC","Crops","143","Morocco","5419","Yield","221","Almonds, with shell","1982","1982","hg/ha","6333","Fc","Calculated data"
